DATE,CUURA319SAF
4/1/2009,219.705
5/1/2009,.
6/1/2009,218.054
7/1/2009,.
8/1/2009,218.866
9/1/2009,.
10/1/2009,219.39
11/1/2009,.
12/1/2009,218.041
1/1/2010,.
2/1/2010,220.62
3/1/2010,.
4/1/2010,223.589
5/1/2010,.
6/1/2010,220.427
7/1/2010,.
8/1/2010,220.547
9/1/2010,.
10/1/2010,223.842
11/1/2010,.
12/1/2010,222.267
1/1/2011,.
2/1/2011,225.598
3/1/2011,.
4/1/2011,227.06
5/1/2011,.
6/1/2011,227.247
7/1/2011,.
8/1/2011,231.167
9/1/2011,.
10/1/2011,231.881
11/1/2011,.
12/1/2011,234.023
1/1/2012,.
2/1/2012,233.261
3/1/2012,.
4/1/2012,234.531
