DATE,CUURA423SAF
4/1/2009,230.688
5/1/2009,.
6/1/2009,230.551
7/1/2009,.
8/1/2009,229.299
9/1/2009,.
10/1/2009,225.482
11/1/2009,.
12/1/2009,225.899
1/1/2010,.
2/1/2010,228.216
3/1/2010,.
4/1/2010,229.654
5/1/2010,.
6/1/2010,227.634
7/1/2010,.
8/1/2010,229.048
9/1/2010,.
10/1/2010,230.299
11/1/2010,.
12/1/2010,228.818
1/1/2011,.
2/1/2011,232.844
3/1/2011,.
4/1/2011,235.012
5/1/2011,.
6/1/2011,239.028
7/1/2011,.
8/1/2011,239.303
9/1/2011,.
10/1/2011,239.523
11/1/2011,.
12/1/2011,239.846
1/1/2012,.
2/1/2012,240.046
3/1/2012,.
4/1/2012,238.725
