DATE,CUURA101SAF
4/1/2009,227.956
5/1/2009,227.592
6/1/2009,227.801
7/1/2009,226.852
8/1/2009,226.62
9/1/2009,226.991
10/1/2009,227.547
11/1/2009,228.525
12/1/2009,228.186
1/1/2010,228.899
2/1/2010,228.173
3/1/2010,228.699
4/1/2010,229.69
5/1/2010,229.329
6/1/2010,229.723
7/1/2010,229.232
8/1/2010,229.741
9/1/2010,230.274
10/1/2010,231.666
11/1/2010,231.839
12/1/2010,231.396
1/1/2011,233.387
2/1/2011,234.36
3/1/2011,234.456
4/1/2011,234.501
5/1/2011,235.301
6/1/2011,237.069
7/1/2011,238.507
8/1/2011,238.836
9/1/2011,239.485
10/1/2011,240.155
11/1/2011,239.385
12/1/2011,240.948
1/1/2012,242.539
2/1/2012,242.47
3/1/2012,242.203
4/1/2012,242.597
