DATE,CUURA422SAF
4/1/2009,228.545
5/1/2009,.
6/1/2009,228.653
7/1/2009,.
8/1/2009,227.744
9/1/2009,.
10/1/2009,228.894
11/1/2009,.
12/1/2009,225.947
1/1/2010,.
2/1/2010,227.243
3/1/2010,.
4/1/2010,226.627
5/1/2010,.
6/1/2010,227.058
7/1/2010,.
8/1/2010,228.012
9/1/2010,.
10/1/2010,228.464
11/1/2010,.
12/1/2010,228.391
1/1/2011,.
2/1/2011,230.805
3/1/2011,.
4/1/2011,234.578
5/1/2011,.
6/1/2011,233.179
7/1/2011,.
8/1/2011,233.984
9/1/2011,.
10/1/2011,234.829
11/1/2011,.
12/1/2011,237.375
1/1/2012,.
2/1/2012,237.793
3/1/2012,.
4/1/2012,237.872
