DATE,CUURA320SAF
4/1/2009,227.129
5/1/2009,.
6/1/2009,224.851
7/1/2009,.
8/1/2009,225.401
9/1/2009,.
10/1/2009,224.79
11/1/2009,.
12/1/2009,226.76
1/1/2010,.
2/1/2010,227.207
3/1/2010,.
4/1/2010,228.086
5/1/2010,.
6/1/2010,227.689
7/1/2010,.
8/1/2010,227.706
9/1/2010,.
10/1/2010,230.429
11/1/2010,.
12/1/2010,229.55
1/1/2011,.
2/1/2011,232.324
3/1/2011,.
4/1/2011,236.01
5/1/2011,.
6/1/2011,239.341
7/1/2011,.
8/1/2011,241.986
9/1/2011,.
10/1/2011,242.084
11/1/2011,.
12/1/2011,240.97
1/1/2012,.
2/1/2012,239.719
3/1/2012,.
4/1/2012,243.098
