DATE,CUURA421SAF
4/1/2009,223.638
5/1/2009,223.85
6/1/2009,223.129
7/1/2009,222.367
8/1/2009,221.81
9/1/2009,221.405
10/1/2009,222.702
11/1/2009,221.026
12/1/2009,221.655
1/1/2010,223.797
2/1/2010,222.639
3/1/2010,223.271
4/1/2010,224.224
5/1/2010,224.744
6/1/2010,224.013
7/1/2010,223.654
8/1/2010,223.031
9/1/2010,224.157
10/1/2010,225.888
11/1/2010,224.971
12/1/2010,226.587
1/1/2011,228.5
2/1/2011,229.505
3/1/2011,230.751
4/1/2011,232.551
5/1/2011,232.278
6/1/2011,232.188
7/1/2011,231.494
8/1/2011,233.606
9/1/2011,234.622
10/1/2011,234.872
11/1/2011,236.002
12/1/2011,235.488
1/1/2012,235.42
2/1/2012,235.931
3/1/2012,236.855
4/1/2012,237.421
