DATE,CUURA318SAF
4/1/2009,200.662
5/1/2009,.
6/1/2009,199.377
7/1/2009,.
8/1/2009,198.946
9/1/2009,.
10/1/2009,198.489
11/1/2009,.
12/1/2009,197.46
1/1/2010,.
2/1/2010,199.272
3/1/2010,.
4/1/2010,199.059
5/1/2010,.
6/1/2010,199.749
7/1/2010,.
8/1/2010,200.066
9/1/2010,.
10/1/2010,200.665
11/1/2010,.
12/1/2010,201.236
1/1/2011,.
2/1/2011,203.501
3/1/2011,.
4/1/2011,205.391
5/1/2011,.
6/1/2011,206.747
7/1/2011,.
8/1/2011,208.273
9/1/2011,.
10/1/2011,209.94
11/1/2011,.
12/1/2011,210.641
1/1/2012,.
2/1/2012,211.826
3/1/2012,.
4/1/2012,211.994
