DATE,CUURA102SAF
4/1/2009,208.163
5/1/2009,.
6/1/2009,205.99
7/1/2009,.
8/1/2009,205.367
9/1/2009,.
10/1/2009,204.602
11/1/2009,.
12/1/2009,207.409
1/1/2010,.
2/1/2010,207.753
3/1/2010,.
4/1/2010,206.533
5/1/2010,.
6/1/2010,208.635
7/1/2010,.
8/1/2010,207.474
9/1/2010,.
10/1/2010,209.456
11/1/2010,.
12/1/2010,209.259
1/1/2011,.
2/1/2011,213.471
3/1/2011,.
4/1/2011,212.495
5/1/2011,.
6/1/2011,216.203
7/1/2011,.
8/1/2011,217.59
9/1/2011,.
10/1/2011,218.896
11/1/2011,.
12/1/2011,218.563
1/1/2012,.
2/1/2012,219.017
3/1/2012,.
4/1/2012,218.974
